COD_REG;COD_ISTAT;PRO_COM;SEZ2011;SEZ;COD_LOC;TIPO_LOC
15.0;15064012.0;64012.0;640120000001;1.0;10001.0;1.0
15.0;15064052.0;64052.0;640520000056;56.0;26621.0;2.0
15.0;15064048.0;64048.0;640480000006;6.0;20002.0;2.0
15.0;15064052.0;64052.0;640520000047;47.0;40001.0;4.0
15.0;15064052.0;64052.0;640520000037;37.0;26618.0;2.0
15.0;15064050.0;64050.0;640500000006;6.0;10003.0;1.0
15.0;15064005.0;64005.0;640050000085;85.0;40001.0;4.0
15.0;15064050.0;64050.0;640500000054;54.0;20036.0;2.0
15.0;15064050.0;64050.0;640500000072;72.0;20021.0;2.0
15.0;15064050.0;64050.0;640500000017;17.0;20003.0;2.0
15.0;15064050.0;64050.0;640500000038;38.0;20020.0;2.0
15.0;15064050.0;64050.0;640500000053;53.0;26635.0;2.0
15.0;15064005.0;64005.0;640050000101;101.0;40001.0;4.0
15.0;15064005.0;64005.0;640050000010;10.0;10001.0;1.0
15.0;15064005.0;64005.0;640050000238;238.0;20011.0;2.0
15.0;15064050.0;64050.0;640500000040;40.0;20023.0;2.0
15.0;15064050.0;64050.0;640500000037;37.0;10001.0;1.0
15.0;15064111.0;64111.0;641110000006;6.0;20003.0;2.0
15.0;15064116.0;64116.0;641160000013;13.0;26603.0;2.0
15.0;15064005.0;64005.0;640050000142;142.0;20033.0;2.0
15.0;15064038.0;64038.0;640380000028;28.0;10002.0;1.0
15.0;15064038.0;64038.0;640380000014;14.0;26611.0;2.0
15.0;15064038.0;64038.0;640380000029;29.0;10002.0;1.0
15.0;15064038.0;64038.0;640380000004;4.0;10002.0;1.0
15.0;15064038.0;64038.0;640380000020;20.0;20005.0;2.0
15.0;15064050.0;64050.0;640500000018;18.0;20004.0;2.0
15.0;15064005.0;64005.0;640050000031;31.0;40001.0;4.0
15.0;15062003.0;62003.0;620030000033;33.0;26601.0;2.0
15.0;15064038.0;64038.0;640380000070;70.0;40001.0;4.0
15.0;15064050.0;64050.0;640500000013;13.0;10001.0;1.0
15.0;15064005.0;64005.0;640050000121;121.0;42011.0;4.0
