zona_climatica;periodo;Superficie Utile Riscaldata;Volume Lordo Riscaldato;EPgl_nren;EPgl_ren;CO2
A;kE16;50-100;100-200;58.31;28.75;12.24
A;kE16;50-100;200-500;82.12;32.04;17.53
A;kE16;50-100;500-1000;115.44;63.84;25.4
A;kE16;50-100;1000-5000;0.0;0.0;0.0
A;kE16;50-100;5000-10000;0.0;0.0;0.0
A;kE16;50-100;>10000;0.0;0.0;0.0
A;kE16;100-200;<50;0.0;0.0;0.0
A;kE16;100-200;50-100;0.0;0.0;0.0
A;kE16;100-200;100-200;0.0;0.0;0.0
A;kE16;100-200;200-500;62.84;9.32;13.28
A;kE16;100-200;500-1000;107.84;27.43;22.57
A;kE16;100-200;1000-5000;0.0;0.0;0.0
A;kE16;100-200;5000-10000;0.0;0.0;0.0
A;kE16;100-200;>10000;0.0;0.0;0.0
A;kE16;200-500;<50;0.0;0.0;0.0
A;kE16;200-500;50-100;0.0;0.0;0.0
A;kE16;200-500;100-200;0.0;0.0;0.0
A;kE16;200-500;200-500;37.88;5.43;8.38
A;kE16;200-500;500-1000;24.21;40.76;5.71
A;kE16;200-500;1000-5000;0.0;0.0;0.0
A;kE16;200-500;5000-10000;0.0;0.0;0.0
A;kE16;200-500;>10000;0.0;0.0;0.0
A;kE16;500-1000;<50;0.0;0.0;0.0
A;kE16;500-1000;50-100;0.0;0.0;0.0
A;kE16;500-1000;100-200;0.0;0.0;0.0
A;kE16;500-1000;200-500;0.0;0.0;0.0
A;kE16;500-1000;500-1000;0.0;0.0;0.0
A;kE16;500-1000;1000-5000;0.0;0.0;0.0
A;kE16;500-1000;5000-10000;0.0;0.0;0.0
A;kE16;500-1000;>10000;0.0;0.0;0.0
A;kE16;1000-5000;<50;0.0;0.0;0.0
A;kE16;1000-5000;50-100;0.0;0.0;0.0
A;kE16;1000-5000;100-200;0.0;0.0;0.0
A;kE16;1000-5000;200-500;0.0;0.0;0.0
A;kE16;1000-5000;500-1000;0.0;0.0;0.0
A;kE16;1000-5000;1000-5000;0.0;0.0;0.0
A;kE16;1000-5000;5000-10000;0.0;0.0;0.0
A;kE16;1000-5000;>10000;0.0;0.0;0.0
A;kE16;>5000;<50;0.0;0.0;0.0
A;kE16;>5000;50-100;0.0;0.0;0.0
A;kE16;>5000;100-200;0.0;0.0;0.0
A;kE16;>5000;200-500;0.0;0.0;0.0
A;kE16;>5000;500-1000;0.0;0.0;0.0
A;kE16;>5000;1000-5000;0.0;0.0;0.0
A;kE16;>5000;5000-10000;0.0;0.0;0.0
A;kE16;>5000;>10000;0.0;0.0;0.0
A;k2015;<50;<50;0.0;0.0;0.0
A;k2015;<50;50-100;0.0;0.0;0.0
A;k2015;<50;100-200;131.43;51.82;28.93
A;k2015;<50;200-500;0.0;0.0;0.0
A;k2015;<50;500-1000;0.0;0.0;0.0
A;k2015;<50;1000-5000;0.0;0.0;0.0
A;k2015;<50;5000-10000;0.0;0.0;0.0
A;k2015;<50;>10000;0.0;0.0;0.0
A;k2015;50-100;<50;0.0;0.0;0.0
A;k2015;50-100;50-100;0.0;0.0;0.0
A;k2015;50-100;100-200;125.43;46.41;29.59
A;k2015;50-100;200-500;80.83;53.39;18.46
A;k2015;50-100;500-1000;0.0;0.0;0.0
A;k2015;50-100;1000-5000;0.0;0.0;0.0
A;k2015;50-100;5000-10000;0.0;0.0;0.0
A;k2015;50-100;>10000;0.0;0.0;0.0
A;k2015;100-200;<50;0.0;0.0;0.0
A;k2015;100-200;50-100;0.0;0.0;0.0
A;k2015;100-200;100-200;0.0;0.0;0.0
A;k2015;100-200;200-500;63.99;31.95;14.54
A;k2015;100-200;500-1000;75.56;34.86;16.21
A;k2015;100-200;1000-5000;0.0;0.0;0.0
A;k2015;100-200;5000-10000;0.0;0.0;0.0
A;k2015;100-200;>10000;0.0;0.0;0.0
A;k2015;200-500;<50;0.0;0.0;0.0
A;k2015;200-500;50-100;0.0;0.0;0.0
A;k2015;200-500;100-200;0.0;0.0;0.0
A;k2015;200-500;200-500;0.0;0.0;0.0
A;k2015;200-500;500-1000;38.77;12.18;8.94
A;k2015;200-500;1000-5000;38.77;62.96;8.16
A;k2015;200-500;5000-10000;0.0;0.0;0.0
A;k2015;200-500;>10000;0.0;0.0;0.0
A;k2015;500-1000;<50;0.0;0.0;0.0
A;k2015;500-1000;50-100;0.0;0.0;0.0
A;k2015;500-1000;100-200;0.0;0.0;0.0
A;k2015;500-1000;200-500;0.0;0.0;0.0
A;k2015;500-1000;500-1000;0.0;0.0;0.0
A;k2015;500-1000;1000-5000;0.0;0.0;0.0
A;k2015;500-1000;5000-10000;0.0;0.0;0.0
A;k2015;500-1000;>10000;0.0;0.0;0.0
A;k2015;1000-5000;<50;0.0;0.0;0.0
A;k2015;1000-5000;50-100;0.0;0.0;0.0
A;k2015;1000-5000;100-200;0.0;0.0;0.0
A;k2015;1000-5000;200-500;0.0;0.0;0.0
A;k2015;1000-5000;500-1000;0.0;0.0;0.0
A;k2015;1000-5000;1000-5000;0.0;0.0;0.0
A;k2015;1000-5000;5000-10000;0.0;0.0;0.0
A;k2015;1000-5000;>10000;0.0;0.0;0.0
A;k2015;>5000;<50;0.0;0.0;0.0
A;k2015;>5000;50-100;0.0;0.0;0.0
A;k2015;>5000;100-200;0.0;0.0;0.0
A;k2015;>5000;200-500;0.0;0.0;0.0
A;k2015;>5000;500-1000;0.0;0.0;0.0
A;k2015;>5000;1000-5000;0.0;0.0;0.0
A;k2015;>5000;5000-10000;0.0;0.0;0.0
A;k2015;>5000;>10000;0.0;0.0;0.0
B;kE8E9;<50;<50;0.0;0.0;0.0
B;kE8E9;<50;50-100;217.71;19.56;44.84
B;kE8E9;<50;100-200;195.36;18.82;39.9
B;kE8E9;<50;200-500;204.97;21.41;41.68
B;kE8E9;<50;500-1000;317.85;42.28;63.99
B;kE8E9;<50;1000-5000;383.01;8.67;77.89
B;kE8E9;<50;5000-10000;0.0;0.0;0.0
B;kE8E9;<50;>10000;0.0;0.0;0.0
B;kE8E9;50-100;<50;0.0;0.0;0.0
B;kE8E9;50-100;50-100;161.0;10.05;33.36
B;kE8E9;50-100;100-200;161.53;18.87;33.98
B;kE8E9;50-100;200-500;168.47;17.33;34.5
B;kE8E9;50-100;500-1000;197.51;20.79;40.2
B;kE8E9;50-100;1000-5000;337.55;20.47;69.37
B;kE8E9;50-100;5000-10000;0.0;0.0;0.0
B;kE8E9;50-100;>10000;0.0;0.0;0.0
B;kE8E9;100-200;<50;0.0;0.0;0.0
B;kE8E9;100-200;50-100;81.81;13.82;18.11
B;kE8E9;100-200;100-200;110.94;12.15;22.81
B;kE8E9;100-200;200-500;139.85;15.41;28.89
B;kE8E9;100-200;500-1000;149.63;17.12;30.32
B;kE8E9;100-200;1000-5000;184.24;19.8;37.61
B;kE8E9;100-200;5000-10000;0.0;0.0;0.0
B;kE8E9;100-200;>10000;0.0;0.0;0.0
B;kE8E9;200-500;<50;0.0;0.0;0.0
B;kE8E9;200-500;50-100;55.29;0.59;11.15
B;kE8E9;200-500;100-200;71.22;3.27;14.05
B;kE8E9;200-500;200-500;103.28;13.24;21.59
B;kE8E9;200-500;500-1000;121.28;12.61;24.77
