zona_climatica;periodo;Superficie Utile Riscaldata;Volume Lordo Riscaldato;Superficie Disperdente;EPgl_nren
B;kE10E11;50-100;500-1000;100-200;139.39
B;kE10E11;50-100;500-1000;200-500;198.37
B;kE10E11;50-100;500-1000;500-1000;282.51
B;kE10E11;50-100;500-1000;1000-5000;262.6
B;kE10E11;50-100;1000-5000;100-200;99.84
B;kE10E11;50-100;1000-5000;200-500;258.92
B;kE10E11;50-100;1000-5000;500-1000;394.55
B;kE10E11;100-200;50-100;<50;104.06
B;kE10E11;100-200;50-100;100-200;92.15
B;kE10E11;100-200;50-100;200-500;131.16
B;kE10E11;100-200;100-200;<50;90.12
B;kE10E11;100-200;100-200;50-100;74.46
B;kE10E11;100-200;100-200;100-200;124.84
B;kE10E11;100-200;100-200;200-500;117.47
B;kE10E11;100-200;100-200;500-1000;77.99
B;kE10E11;100-200;200-500;<50;99.73
B;kE10E11;100-200;200-500;50-100;83.98
B;kE10E11;100-200;200-500;100-200;92.76
B;kE10E11;100-200;200-500;200-500;148.79
B;kE10E11;100-200;200-500;500-1000;194.11
B;kE10E11;100-200;200-500;1000-5000;357.83
B;kE10E11;100-200;500-1000;<50;94.47
B;kE10E11;100-200;500-1000;50-100;78.29
B;kE10E11;100-200;500-1000;100-200;83.31
B;kE10E11;100-200;500-1000;200-500;127.27
B;kE10E11;100-200;500-1000;500-1000;173.08
B;kE10E11;100-200;500-1000;1000-5000;316.01
B;kE10E11;100-200;1000-5000;100-200;121.87
B;kE10E11;100-200;1000-5000;200-500;146.66
B;kE10E11;100-200;1000-5000;500-1000;215.82
B;kE10E11;100-200;1000-5000;1000-5000;358.85
B;kE10E11;200-500;100-200;50-100;39.48
B;kE10E11;200-500;100-200;100-200;141.84
B;kE10E11;200-500;100-200;200-500;82.03
B;kE10E11;200-500;100-200;500-1000;48.79
B;kE10E11;200-500;100-200;1000-5000;74.03
B;kE10E11;200-500;200-500;100-200;120.73
B;kE10E11;200-500;200-500;200-500;95.23
B;kE10E11;200-500;200-500;500-1000;123.16
B;kE10E11;200-500;500-1000;<50;86.34
B;kE10E11;200-500;500-1000;50-100;88.23
B;kE10E11;200-500;500-1000;100-200;68.25
B;kE10E11;200-500;500-1000;200-500;89.9
B;kE10E11;200-500;500-1000;500-1000;142.51
B;kE10E11;200-500;500-1000;1000-5000;191.26
B;kE10E11;200-500;1000-5000;<50;77.3
B;kE10E11;200-500;1000-5000;50-100;56.64
B;kE10E11;200-500;1000-5000;100-200;56.63
B;kE10E11;200-500;1000-5000;200-500;86.06
B;kE10E11;200-500;1000-5000;500-1000;125.93
B;kE10E11;200-500;1000-5000;1000-5000;148.96
B;kE10E11;500-1000;200-500;100-200;25.23
B;kE10E11;500-1000;1000-5000;<50;31.94
B;kE10E11;500-1000;1000-5000;50-100;37.72
B;kE10E11;500-1000;1000-5000;200-500;75.26
B;kE10E11;500-1000;1000-5000;500-1000;94.38
B;kE10E11;500-1000;1000-5000;1000-5000;97.32
B;kE12E13;<50;50-100;<50;125.12
B;kE12E13;<50;50-100;50-100;176.45
B;kE12E13;<50;50-100;100-200;251.54
B;kE12E13;<50;50-100;200-500;460.82
B;kE12E13;<50;50-100;500-1000;182.44
B;kE12E13;<50;100-200;<50;106.64
B;kE12E13;<50;100-200;50-100;125.82
B;kE12E13;<50;100-200;100-200;188.48
B;kE12E13;<50;100-200;200-500;233.93
B;kE12E13;<50;100-200;500-1000;121.9
B;kE12E13;<50;200-500;<50;127.14
B;kE12E13;<50;200-500;50-100;127.38
B;kE12E13;<50;200-500;100-200;170.52
B;kE12E13;<50;200-500;200-500;229.79
B;kE12E13;<50;200-500;500-1000;353.76
B;kE12E13;<50;500-1000;<50;501.87
B;kE12E13;<50;500-1000;100-200;149.61
B;kE12E13;<50;500-1000;200-500;404.11
B;kE12E13;<50;500-1000;500-1000;94.56
B;kE12E13;<50;1000-5000;100-200;403.05
B;kE12E13;50-100;50-100;<50;85.63
B;kE12E13;50-100;50-100;50-100;132.83
B;kE12E13;50-100;50-100;100-200;172.37
B;kE12E13;50-100;50-100;200-500;159.08
B;kE12E13;50-100;100-200;<50;123.09
B;kE12E13;50-100;100-200;50-100;114.32
B;kE12E13;50-100;100-200;100-200;146.46
B;kE12E13;50-100;100-200;200-500;190.12
B;kE12E13;50-100;100-200;500-1000;195.74
B;kE12E13;50-100;100-200;1000-5000;286.67
B;kE12E13;50-100;200-500;<50;110.15
B;kE12E13;50-100;200-500;50-100;95.14
B;kE12E13;50-100;200-500;100-200;116.85
B;kE12E13;50-100;200-500;200-500;169.77
B;kE12E13;50-100;200-500;500-1000;279.4
B;kE12E13;50-100;200-500;1000-5000;404.51
B;kE12E13;50-100;500-1000;<50;46.78
B;kE12E13;50-100;500-1000;50-100;161.46
B;kE12E13;50-100;500-1000;100-200;138.13
B;kE12E13;50-100;500-1000;200-500;212.56
B;kE12E13;50-100;500-1000;500-1000;250.23
B;kE12E13;50-100;1000-5000;200-500;271.3
B;kE12E13;50-100;1000-5000;500-1000;383.55
B;kE12E13;50-100;1000-5000;1000-5000;542.36
B;kE12E13;100-200;50-100;<50;97.19
B;kE12E13;100-200;50-100;100-200;202.82
B;kE12E13;100-200;50-100;200-500;138.48
B;kE12E13;100-200;100-200;<50;75.34
B;kE12E13;100-200;100-200;50-100;105.81
B;kE12E13;100-200;100-200;100-200;125.38
B;kE12E13;100-200;100-200;200-500;112.64
B;kE12E13;100-200;100-200;500-1000;112.96
B;kE12E13;100-200;200-500;<50;102.74
B;kE12E13;100-200;200-500;50-100;82.21
B;kE12E13;100-200;200-500;100-200;89.1
B;kE12E13;100-200;200-500;200-500;141.58
B;kE12E13;100-200;200-500;500-1000;198.26
B;kE12E13;100-200;200-500;1000-5000;298.0
B;kE12E13;100-200;500-1000;<50;80.04
B;kE12E13;100-200;500-1000;50-100;76.95
B;kE12E13;100-200;500-1000;100-200;84.67
B;kE12E13;100-200;500-1000;200-500;125.58
B;kE12E13;100-200;500-1000;500-1000;162.07
