zona_climatica;Superficie Utile Riscaldata;Volume Lordo Riscaldato;EPgl_nren;EPgl_ren;CO2
F;200-500;5000-10000;0.0;0.0;0.0
F;200-500;>10000;0.0;0.0;0.0
F;500-1000;<50;0.0;0.0;0.0
F;500-1000;50-100;200.73;6.52;38.56
F;500-1000;100-200;266.5;1.82;50.95
F;500-1000;200-500;247.94;0.35;66.31
F;500-1000;500-1000;325.57;1.4;77.03
F;500-1000;1000-5000;180.37;27.12;40.89
F;500-1000;5000-10000;0.0;0.0;0.0
F;500-1000;>10000;0.0;0.0;0.0
F;1000-5000;<50;0.0;0.0;0.0
F;1000-5000;50-100;0.0;0.0;0.0
F;1000-5000;100-200;0.0;0.0;0.0
F;1000-5000;200-500;0.0;0.0;0.0
F;1000-5000;500-1000;0.0;0.0;0.0
F;1000-5000;1000-5000;0.0;0.0;0.0
F;1000-5000;5000-10000;0.0;0.0;0.0
F;1000-5000;>10000;0.0;0.0;0.0
F;>5000;<50;0.0;0.0;0.0
F;>5000;50-100;0.0;0.0;0.0
F;>5000;100-200;0.0;0.0;0.0
F;>5000;200-500;0.0;0.0;0.0
F;>5000;500-1000;0.0;0.0;0.0
F;>5000;1000-5000;0.0;0.0;0.0
F;>5000;5000-10000;0.0;0.0;0.0
F;>5000;>10000;0.0;0.0;0.0
