zona_climatica;periodo;Superficie Utile Riscaldata;Volume Lordo Riscaldato;Superficie Disperdente;EPgl_nren;EPgl_ren;CO2
B;kE10E11;50-100;200-500;<50;114.52;19.61;24.56
B;kE10E11;50-100;200-500;50-100;95.4;12.79;20.25
B;kE10E11;50-100;200-500;100-200;120.29;13.97;24.97
B;kE10E11;50-100;200-500;200-500;177.24;18.08;36.1
B;kE10E11;50-100;200-500;500-1000;277.66;19.98;56.46
B;kE10E11;50-100;200-500;1000-5000;311.76;42.51;63.56
B;kE10E11;50-100;500-1000;<50;77.06;10.03;16.91
B;kE10E11;50-100;500-1000;50-100;153.65;29.13;33.3
B;kE10E11;50-100;500-1000;100-200;139.39;18.71;29.45
B;kE10E11;50-100;500-1000;200-500;197.82;22.11;40.46
B;kE10E11;50-100;500-1000;500-1000;283.58;15.84;57.38
B;kE10E11;50-100;500-1000;1000-5000;262.6;0.98;52.67
B;kE10E11;50-100;1000-5000;100-200;99.84;3.82;20.54
B;kE10E11;50-100;1000-5000;200-500;258.92;7.2;52.85
B;kE10E11;50-100;1000-5000;500-1000;394.55;11.45;80.63
B;kE10E11;100-200;50-100;<50;104.06;15.4;23.11
B;kE10E11;100-200;50-100;100-200;92.15;11.01;20.07
B;kE10E11;100-200;50-100;200-500;131.16;30.16;27.64
B;kE10E11;100-200;100-200;<50;90.12;7.74;19.06
B;kE10E11;100-200;100-200;50-100;76.3;3.87;15.94
B;kE10E11;100-200;100-200;100-200;124.84;11.58;25.46
B;kE10E11;100-200;100-200;200-500;117.47;10.86;24.78
B;kE10E11;100-200;100-200;500-1000;77.99;23.61;16.76
B;kE10E11;100-200;200-500;<50;99.54;18.83;21.46
B;kE10E11;100-200;200-500;50-100;83.89;11.56;17.76
B;kE10E11;100-200;200-500;100-200;92.77;10.42;19.24
B;kE10E11;100-200;200-500;200-500;148.73;15.32;30.45
B;kE10E11;100-200;200-500;500-1000;194.16;19.37;39.51
B;kE10E11;100-200;200-500;1000-5000;357.83;8.0;73.87
B;kE10E11;100-200;500-1000;<50;94.47;17.36;20.36
B;kE10E11;100-200;500-1000;50-100;78.35;9.08;16.59
B;kE10E11;100-200;500-1000;100-200;83.22;8.6;17.3
B;kE10E11;100-200;500-1000;200-500;127.21;16.27;25.94
B;kE10E11;100-200;500-1000;500-1000;173.29;20.2;34.61
B;kE10E11;100-200;500-1000;1000-5000;312.14;15.46;63.51
B;kE10E11;100-200;1000-5000;100-200;121.87;14.85;26.11
B;kE10E11;100-200;1000-5000;200-500;146.66;13.88;30.29
B;kE10E11;100-200;1000-5000;500-1000;215.82;30.31;45.03
B;kE10E11;100-200;1000-5000;1000-5000;358.85;14.15;72.63
B;kE10E11;200-500;100-200;50-100;39.48;2.5;14.61
B;kE10E11;200-500;100-200;100-200;141.84;33.09;32.23
B;kE10E11;200-500;100-200;200-500;82.03;5.42;17.22
B;kE10E11;200-500;100-200;500-1000;48.79;6.18;10.68
B;kE10E11;200-500;100-200;1000-5000;74.03;0.0;14.81
B;kE10E11;200-500;200-500;100-200;118.53;2.23;23.75
B;kE10E11;200-500;200-500;200-500;95.23;6.27;19.46
B;kE10E11;200-500;200-500;500-1000;123.16;6.58;25.53
B;kE10E11;200-500;500-1000;<50;86.34;16.45;18.58
B;kE10E11;200-500;500-1000;50-100;88.23;10.75;18.26
B;kE10E11;200-500;500-1000;100-200;68.25;7.88;14.37
B;kE10E11;200-500;500-1000;200-500;89.9;11.22;18.69
B;kE10E11;200-500;500-1000;500-1000;142.4;18.85;29.02
B;kE10E11;200-500;500-1000;1000-5000;191.26;9.48;39.53
B;kE10E11;200-500;1000-5000;<50;77.3;20.52;17.06
B;kE10E11;200-500;1000-5000;50-100;56.64;7.78;11.74
B;kE10E11;200-500;1000-5000;100-200;56.63;11.94;12.08
B;kE10E11;200-500;1000-5000;200-500;86.06;7.09;16.61
B;kE10E11;200-500;1000-5000;500-1000;125.93;20.67;24.89
B;kE10E11;200-500;1000-5000;1000-5000;148.52;25.19;30.26
B;kE10E11;500-1000;200-500;100-200;25.23;9.61;5.57
B;kE10E11;500-1000;1000-5000;<50;31.94;2.84;10.39
B;kE10E11;500-1000;1000-5000;50-100;37.72;3.97;7.64
B;kE10E11;500-1000;1000-5000;200-500;75.26;5.32;15.25
